Cidade_operador;So_Agua_yes;Nat_jur_B;Nat_jur_C;PIB_capta_2017;Urbaniz;POP_TOT;POP_URB;AG001;AG001A;AG002;AG002A;AG003;AG003A;AG005;AG005A;AG006;AG007;AG010;AG011;AG013;AG013A;AG021;AG021A;AG026;AG026A;AG028;ES001;ES001A;ES002;ES002A;ES003;ES003A;ES004;ES004A;ES005;ES006;ES007;ES009;ES009A;ES028;FN001;FN002;FN003;FN004;FN005;FN006;FN008;FN008A;FN010;FN011;FN013;FN014;FN015;FN016;FN017;FN018;FN019;FN020;FN021;FN022;FN023;FN024;FN025;FN026;FN026A;FN027;FN028;FN030;FN031;FN032;FN033;FN034;FN035;FN036;FN037;QD002;QD003;QD023;QD024
5.10E+13;1;1;0;17951.61;0.95;9714;9181;9714;9455;3435;3376;3438;3376;64.87;63.07;574;0;459;459;3144;3075;3815;3538;8936;8936;31.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2029094.57;2029094.57;0;275837.04;2304931.61;2304931.61;251662.68;150546.86;346845.88;23674.28;150204.25;86801.44;774085.43;236007.21;1393370.6;45286.84;24242.58;0;11759.53;236007.21;64606.72;0;47214;6;6;154800.05;123028.17;0;0;0;157107.56;0;236007.21;0;236007.21;0;0;5213;5213
1.10E+13;0;1;0;21389.67;0.85;106168;89920;96911;86193;26937;23958;29367;26119;165.16;165.16;5429.97;5429.97;2948.06;2524.34;29367;26119;35225;33227;89920;86193;3613.91;2165;1865;647;565;656;565;9.06;9.06;125.95;125.95;84.71;647;642;13.87;8379660.27;8269992.2;109668.07;1488231.3;9867891.57;8179015.84;3907995.36;2598668.62;1480019.96;338958.25;1264064.25;1888071.56;8473169.65;0;16644291.83;0;1418126.89;0;283299.08;0;3242903.13;2271166.6;973218.83;73;36;3218756.55;6752995.29;0;6487288.56;0;6487288.56;0;0;0;0;12;72;42310;42310
3.50E+13;0;1;0;34385.26;0.93;57112;53309;55334;53531;21636;21627;22705;23207;262.24;259.01;5147;0;3509;4012;21156;21549;24077;24459;52567;53531;4290.43;55334;53531;23002;22122;24090;22135;214.96;211.59;3526.09;3509;4119;23002;22122;142.31;20533574.11;11306545.16;9227028.95;1005582.95;21539157.06;20392290.22;3503500.06;2731553.64;2918120.52;112937.86;2472755.79;2593981.32;12094171.54;1177489.84;16233660.59;0;1603077.14;0;2111820.38;1358922.07;5192461.88;3663465.04;1344167.06;57;45;1884555.67;0;4918093.98;5282000;0;10200093.98;1940185.62;1177489.84;0;3117675.46;0;0;73325;71886
5.10E+13;0;1;0;29714.34;0.87;51615;44848;44848;43609;14365;14024;15999;15599;221.39;220;3123;3123;2249.36;2688.96;14805;14666;17504;17043;44848;43609;1382;23769;23025;5109;4357;5706;5259;117.51;117;1175;1175;846.21;5387;4564;311.18;13123055.54;9633466.15;3489589.39;643527.51;13766583.05;12893018.09;3410866.27;3446471;1197174.11;424900.6;917508.14;1105292.88;6252943.6;1532788.55;10970924.17;0;1976486.58;0;1541568.04;1208705.44;843119.24;287465.59;615642.44;28;24;1066499.83;0;1746227.27;0;0;1746227.27;8395374.9;1532788.55;0;9928163.45;0;0;45398;41153
4.20E+13;0;1;0;32125.78;1;19193;19193;19193;18623;8946;7923;17959;17068;169;166;958;958;1490.27;2481.29;16554;12034;9852;9387;19193;18623;251.48;3532;3427;646;623;2879;2696;16;16;283.81;283.81;378.86;705;680;205.6;14890569.01;12920120.3;1970448.71;566761.87;15457330.88;15208212.22;3077872.73;332603.74;1815759.06;199263.22;335284.3;2348499.14;9553442.26;0;11432328.62;0;635301.23;2250769.63;137609.24;1168704.61;34019246.71;2362665.13;700788.2;33;39;2466257.67;74880.52;0;37082700.04;0;37082700.04;0;0;0;0;0;0;14347;12844
5.10E+13;0;1;0;29744.71;0.9;60661;54641;60661;58974;24405;23649;25911;25157;390.13;386.62;6483.46;6483.46;3647.5;4384.48;24305;23366;28797;27458;54641;53121;5213.98;42871;41724;12618;12003;13772;13162;190;180.53;1855.25;1855.25;2377.85;14113;13271;424.99;22942119.5;16378876.46;6563243.04;894948.17;23837067.67;23022020.44;3979908.48;3732197.79;1730059.54;413853.86;2949367.88;2370315.73;9781082.51;5718514.91;21249931.66;0;2268787.95;0;751847.61;1771211.87;2745926.49;963480.07;170614.18;42;47;1565637.89;1710334.42;0;3880020.74;0;3880020.74;3206189.46;1420758.12;4297756.79;8924704.37;11;66;52620;52620
3.11E+13;0;1;0;8343.03;0.82;17598;14486;17350;17320;6449;6350;8400;8387;195;193;950;925;668;763;6009;5770;7285;7192;14272;14020;0;14252;14000;6437;6334;7030;8383;175;171;650;650;650;6656;6404;0;5605456.24;3673522.97;1931933.27;308804.19;5914260.43;5803069.55;697040.93;587061.05;1197513.21;338049.33;434767.32;560847.82;2823540.12;189.7;3736870.08;0;180722.44;0;229933.94;300322.53;0;0;169807.91;30;35;62428.5;432095.29;169807.91;0;0;169807.91;0;189.7;0;189.7;2;12;328;325
1.10E+13;1;1;0;17063.65;0.56;38937;21790;4149;3546;1113;951;1224;1046;30;29.6;132.37;132.37;125.75;166.54;1224;1046;1144;982;4149;3546;144.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;656518.97;656518.97;0;65501.68;722020.65;743739.52;201252.77;116025.66;210215.98;18026.86;57386.01;234748.16;872679.48;0;1999206.61;0;424125.13;0;31769.88;-1320.11;760822.9;0;9630.05;6;6;320532.59;703722.11;0;770452.95;0;770452.95;0;0;0;0;3;18;1316;1316
5.10E+13;1;1;0;6814.58;0.79;21311;16824;16824;18754;6178;5900;6409;6128;108.74;108;1529.08;1529.08;969.13;1204.71;5637;5445;6702;6423;16824;16347;1625.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3914101.95;3914101.95;0;188876.53;4102978.48;4126652.31;355577.08;411177;625459.69;83689.66;730514.49;428667.05;2643014.57;0;3038626.11;0;353913.73;0;410451.34;41697.81;1322962.75;0;77256.92;15;13;364232.34;0;1400219.67;0;0;1400219.67;0;0;0;0;0;0;18752;18055
5.10E+13;0;1;0;34922.06;0.77;12052;9226;9744;9568;2858;2787;2989;2935;57;57;677.22;0;451.12;519.46;2989;2935;3421;3358;9226;8969;247.22;8029;7765;2344;2171;2463;2382;41.44;41.44;287.62;287.62;353;2344;2171;5.44;2047977.09;1280302.94;767674.15;61187.56;2109164.65;2096381.24;348944.93;344802.53;159255.47;13456.68;142284.58;334507.66;851811.77;324524.19;1714486.43;0;316220.99;0;27578.76;54751.32;81780.26;111888.27;26457.5;4;4;174728.62;167178.16;0;220126.03;0;220126.03;0;324524.19;0;324524.19;2;12;5040;5040
