Prestador;Sigla do Prestador;Natureza jurídica;Natureza jurídica_b;Natureza jurídica_c
Agência de Saneamento de Paragominas;SANEPAR;Autarquia;Pública;CESB Bolsa
Agência Tocantinense de Saneamento;ATS;Autarquia;Pública;CESB
Água de Carlinda Ltda;AGUASCAR;Empresa privada;Privada;Privada
Água de Ivoti;AV;Autarquia;Pública;Pública
ÁGUAS ALTA FLORESTA LTDA;AAF;Empresa privada;Privada;Privada
ÁGUAS CANARANA LTDA;AC;Empresa privada;Privada;Privada
ÁGUAS COLÍDER LTDA;AC;Empresa privada;Privada;Privada
ÁGUAS COMODORO LTDA;AC;Empresa privada;Privada;Privada
Águas Cuiabá SA;CBA;Empresa privada;Privada;Privada
Águas das Agulhas Negras;CAAN;Empresa privada;Privada;Privada
Águas de Andradina;AA;Empresa privada;Privada;Privada
Águas de Araçoiaba;CAA;Empresa privada;Privada;Privada
Águas de Arenápolis Ltda;AA;Empresa privada;Privada;Privada
Águas de Ariquemes Saneamento Ltda;AA;Empresa privada;Privada;Privada
Águas de Barra do Garças Ltda;ABG;Empresa privada;Privada;Privada
Águas de Bom Sucesso Ltda;ABS;Empresa privada;Privada;Privada
Águas de Bombinhas;AB;Empresa privada;Privada;Privada
Águas de Buritis S.A.;ABU;Empresa privada;Privada;Privada
Águas de Camboriú;AC;Empresa privada;Privada;Privada
Águas de Campo Verde Ltda;ACV;Empresa privada;Privada;Privada
Águas de Canaã Ltda;AC;Empresa privada;Privada;Privada
Águas de Casa Branca SPE Ltda.;ACB;Empresa privada;Privada;Privada
Águas de Cláudia Ltda;AC;Empresa privada;Privada;Privada
Águas de Confresa S/A;ACO;Empresa privada;Privada;Privada
Águas de Diamantino Ltda.;ADI;Empresa privada;Privada;Privada
Águas de Guará Ltda;GUARA;Empresa privada;Privada;Privada
Águas de Guarantã Ltda;AG;Empresa privada;Privada;Privada
Águas de Holambra;AH;Empresa privada;Privada;Privada
Águas de Jahu S. A.;CAJA;Empresa privada;Privada;Privada
Águas de Jauru;AJ;Empresa privada;Privada;Privada
Águas de Marcelândia Ltda;AMA;Empresa privada;Privada;Privada
Águas de Matão;AM;Empresa privada;Privada;Privada
Águas de Matupá Ltda;AM;Empresa privada;Privada;Privada
Águas de Mineiros do Tietê;AMT;Empresa privada;Privada;Privada
Águas de Niterói S/A;CAN;Empresa privada;Privada;Privada
Águas de Nortelândia Ltda;ANOR;Empresa privada;Privada;Privada
Águas de Nova Friburgo Ltda;CANF;Empresa privada;Privada;Privada
Águas de Novo Progresso Ltda;PMNP;Empresa privada;Privada;Privada
Águas de Pará de Minas S. A.;CAPAM;Empresa privada;Privada;Privada
Águas de Paranatinga Ltda;APA;Empresa privada;Privada;Privada
Águas de Peixoto S/A;APA;Empresa privada;Privada;Privada
Águas de Penha;AP;Empresa privada;Privada;Privada
Águas de Pimenta Bueno Saneamento SPE LTDA;APB;Empresa privada;Privada;Privada
Águas de Poconé Ltda;APO;Empresa privada;Privada;Privada
Águas de Porto Esperidião;APE;Empresa privada;Privada;Privada
Águas de Primavera Ltda;APL;Empresa privada;Privada;Privada
Águas de Rolim de Moura Saneamento SPE LTDA;ARM;Empresa privada;Privada;Privada
Águas de Santa Carmem Ltda;ASC;Empresa privada;Privada;Privada
Águas de São Francisco Concessionária de Saneamento S.A;ASF;Empresa privada;Privada;Privada
Águas de São Francisco do Sul;ASFS;Empresa privada;Privada;Privada
Águas de São José;ASJ;Empresa privada;Privada;Privada
Águas de São Sebastião da Grama;ASSG;Empresa privada;Privada;Privada
Águas de Sinop S.A.;AS;Empresa privada;Privada;Privada
Águas de Sorriso Ltda;AS;Empresa privada;Privada;Privada
Águas de Teresina Saneamento SPE S.A;AT;Empresa privada;Privada;Privada
Águas de Timon Saneamento S/A;AT;Empresa privada;Privada;Privada
Águas de União do Sul Ltda;AUS;Empresa privada;Privada;Privada
Águas de Vera Ltda;AVE;Empresa privada;Privada;Privada
Águas de Votorantim S/A;CAV;Empresa privada;Privada;Privada
Águas do Imperador S/A;CAI;Empresa privada;Privada;Privada
Águas do Paraíba S/A;CAP;Empresa privada;Privada;Privada
Águas e Esgotos do Piauí S/A;AGESPISA;Sociedade de economia mista com administração pública;Pública;CESB
Águas Guariroba S/A;AG;Empresa privada;Privada;Privada
ÁGUAS PIQUETE S.A.;AP;Empresa privada;Privada;Privada
ÁGUAS PONTES E LACERDA LTDA;APL;Empresa privada;Privada;Privada
Associação de Novo Machado e Vila Pratos;ANMVP;Organização social;Pública;Pública
Associação Pró Desenvolvimento de Languiru;APDL;Organização social;Pública;Pública
Associações Hídricas Comunitárias;ASSHIDCOMML;Organização social;Pública;Pública
Autarquia Municipal de Água e Esgoto de Cachoeiras de Macacu;AMAE;Autarquia;Pública;Pública
Autarquia Municipal de Água e Esgoto Nossa Água;NOSSA AGUA;Autarquia;Pública;Pública
Autarquia Municipal de Saneamento Ambiental de Guaraçaí;SAG;Autarquia;Pública;Pública
Autarquia Municipal de Saneamento de Fraiburgo;SANEFRAI;Autarquia;Pública;Pública
BRK Ambiental   Blumenau S.A.;BRK;Empresa privada;Privada;Privada
BRK Ambiental - Cachoeiro de Itapemirim S.A.;BRK;Empresa privada;Privada;Privada
BRK Ambiental - Limeira S.A.;BRKL;Empresa privada;Privada;Privada
BRK Ambiental - Macaé S.A.;BRK;Empresa privada;Privada;Privada
BRK Ambiental - Mauá S.A.;BRK;Empresa privada;Privada;Privada
BRK Ambiental - Paço do Lumiar S.A.;BRK;Empresa privada;Privada;Privada
BRK Ambiental - Porto Ferreira S.A.;BRK;Empresa privada;Privada;Privada
BRK Ambiental - Santa Gertrudes S.A.;BRK;Empresa privada;Privada;Privada
BRK Ambiental - São José de Ribamar S.A.;BRK;Empresa privada;Privada;Privada
BRK Ambiental - Sumaré S.A.;BRK;Empresa privada;Privada;Privada
BRK Ambiental - Uruguaiana S.A.;BRK;Empresa privada;Privada;Privada
BRK Ambiental Araguaia;BRK;Empresa privada;Privada;Privada
BRK Ambiental Rio das Ostras S.A;BRK;Empresa privada;Privada;Privada
Cia de Desenvolvimento de Nova Odessa;CODEN;Sociedade de economia mista com administração pública;Pública;Pública
Companhia Águas de Itapema Ltda;CIA de Águas;Empresa privada;Privada;Privada
Companhia Águas de Joinville;CAJ;Empresa pública;Pública;Pública
Companhia Águas de Santa Rita;COMASA;Empresa privada;Privada;Privada
Companhia Autônoma de Água e Esgoto;CAESI;Autarquia;Pública;Pública
Companhia Catarinense de Águas e Saneamento;CASAN;Sociedade de economia mista com administração pública;Pública;CESB Bolsa
Companhia de Água e Esgoto do Amapá;CAESA;Sociedade de economia mista com administração pública;Pública;CESB
Companhia de Água e Esgoto do Ceará;CAGECE;Sociedade de economia mista com administração pública;Pública;CESB
Companhia de Águas e Esgotos da Paraíba;CAGEPA;Sociedade de economia mista com administração pública;Pública;CESB
Companhia de Águas e Esgotos de Paraibuna;CAEPA;Empresa privada;Privada;Privada
Companhia de Águas e Esgotos de Rondônia;CAERD;Sociedade de economia mista com administração pública;Pública;CESB
Companhia de Águas e Esgotos de Roraima;CAER;Sociedade de economia mista com administração pública;Pública;CESB
Companhia de Águas e Esgotos do Rio Grande do Norte;CAERN;Sociedade de economia mista com administração pública;Pública;CESB
Companhia de Saneamento Ambiental do Distrito Federal;CAESB;Sociedade de economia mista com administração pública;Pública;CESB
Companhia de Saneamento Ambiental do Maranhão;CAEMA;Sociedade de economia mista com administração pública;Pública;CESB
Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Sociedade de economia mista com administração pública;Pública;CESB Bolsa
Companhia de Saneamento de Alagoas;CASAL;Sociedade de economia mista com administração pública;Pública;CESB
