c_mun;un;ano;c_prest;t_Serv;nat_jur_c;FN017;nat_jur_b;Urbanizacao;AG005;AG011;AG021;QD023;IN008;IN013;IN058
120040;AC;2004;12004011;1;0;16.07;0;89;6.31;8.61;11.00;8.71;9.90;73.80;-0.82
120040;AC;2003;12004011;1;0;15.81;0;89;6.31;8.62;10.97;7.28;9.70;75.24;-0.84
270020;AL;2004;27043000;0;1;13.55;0;51;2.70;5.63;7.70;2.30;10.01;44.56;-0.02
270020;AL;2003;27043000;0;1;13.22;0;51;2.70;5.61;7.66;6.22;9.98;45.92;0.04
270030;AL;2004;27043000;0;1;16.40;0;82;6.33;8.70;10.69;6.99;10.17;16.62;0.94
270040;AL;2004;27004011;0;0;13.33;0;44;3.36;6.64;8.56;6.49;9.25;54.67;-1.24
270040;AL;2003;27004011;0;0;13.15;0;44;3.28;6.61;8.50;6.55;9.40;54.00;-1.27
270120;AL;2004;27043000;0;1;11.92;0;44;1.89;4.55;6.73;0.00;9.54;41.78;1.30
270130;AL;2004;27013011;0;0;13.15;0;74;3.34;6.26;8.27;5.72;9.76;20.50;-3.22
270130;AL;2003;27013011;0;0;12.79;0;74;3.32;6.24;8.24;5.77;9.39;21.86;-3.51
270140;AL;2004;27043000;0;1;12.39;0;39;2.25;4.89;7.22;4.28;10.11;59.46;-0.89
270160;AL;2004;27043000;0;1;12.78;0;24;2.33;4.87;7.31;1.61;9.83;34.34;-1.77
270230;AL;2004;27043000;0;1;13.39;0;45;3.15;6.08;8.13;7.68;9.90;17.32;-0.49
270240;AL;2004;27043000;0;1;15.36;0;78;4.39;7.20;9.23;2.30;10.09;60.15;1.29
270300;AL;2004;27043000;0;1;12.94;0;55;2.56;5.30;7.47;6.70;10.16;29.54;0.10
270300;AL;2003;27043000;0;1;12.64;0;55;2.56;5.35;7.44;3.40;9.91;32.25;-0.01
270400;AL;2004;27043000;0;1;13.11;0;29;2.65;5.43;7.94;5.32;9.88;44.06;1.71
270430;AL;2004;27043000;1;1;18.09;0;100;7.12;10.19;11.90;9.67;10.47;58.81;-0.43
270430;AL;2003;27043000;1;1;17.70;0;100;7.12;10.15;11.87;9.86;10.52;58.64;-0.45
270450;AL;2004;27043000;0;1;13.13;0;59;2.80;5.73;7.77;7.20;9.96;17.68;-0.08
270500;AL;2004;27043000;0;1;13.93;0;19;2.70;5.55;7.70;0.00;9.81;30.69;1.25
270550;AL;2004;27043000;0;1;13.05;0;71;2.76;5.47;7.64;6.92;10.09;36.42;-1.56
270630;AL;2004;27043000;0;1;15.28;0;72;5.25;7.69;9.67;6.71;10.18;39.40;0.12
270630;AL;2003;27043000;0;1;14.81;0;72;5.25;7.65;9.64;7.06;9.42;39.37;0.17
270660;AL;2004;27043000;0;1;12.78;0;62;2.29;5.16;7.27;2.94;10.20;46.69;-1.66
270670;AL;2003;27067011;0;0;14.43;0;73;4.26;7.81;9.47;7.76;9.80;35.49;-0.67
270680;AL;2004;27043000;0;1;13.12;0;61;3.00;5.70;7.97;7.26;10.05;52.71;-0.89
270700;AL;2004;27043000;0;1;10.78;0;45;1.10;3.34;6.02;2.40;9.16;45.88;0.07
270710;AL;2004;27043000;1;1;14.28;0;7;3.14;6.05;8.11;6.02;10.19;73.94;0.23
270710;AL;2003;27043000;1;1;13.75;0;7;3.14;6.10;8.05;5.99;10.16;69.91;-1.61
270770;AL;2004;27043000;0;1;14.93;0;80;5.14;7.19;9.30;8.94;10.21;49.17;-0.21
270770;AL;2003;27043000;0;1;14.59;0;80;5.14;7.21;9.25;5.31;9.81;53.64;-0.36
270800;AL;2004;27043000;0;1;15.12;0;58;3.98;6.89;8.91;0.69;10.07;9.78;-1.27
270920;AL;2004;27043000;0;1;12.80;0;30;2.89;5.34;7.53;4.79;9.75;9.72;-0.56
130200;AM;2003;13020011;0;0;11.39;0;72;2.81;5.08;6.80;1.61;8.22;70.20;-0.99
130240;AM;2003;13024011;0;0;13.30;0;67;3.99;5.01;8.54;4.56;8.83;51.54;0.55
130260;AM;2004;13026011;1;0;18.71;1;99;7.81;10.89;12.53;11.77;10.51;70.96;-0.48
130260;AM;2003;13026011;1;0;18.87;1;99;7.77;10.91;12.51;11.12;10.56;69.67;-0.43
130290;AM;2004;13029011;0;0;13.23;0;53;3.99;6.84;8.58;7.01;9.56;63.81;-2.53
130340;AM;2003;13034011;0;0;14.33;0;64;4.62;7.92;9.56;9.18;9.19;28.57;-0.89
290750;BA;2004;29075011;0;0;14.56;0;81;4.61;7.23;9.46;8.42;9.44;20.83;0.73
290750;BA;2003;29075011;0;0;14.46;0;81;4.45;7.24;9.61;8.46;9.40;-0.71;0.92
290990;BA;2004;29099011;1;0;12.82;0;37;3.41;6.52;8.36;8.56;8.95;-4.37;-0.94
290990;BA;2003;29099011;1;0;12.58;0;37;3.33;6.17;8.32;8.49;8.77;32.44;-2.81
291120;BA;2004;29112011;0;0;13.73;0;81;3.64;7.31;8.79;8.14;9.38;7.66;-0.45
291120;BA;2003;29112011;0;0;13.50;0;81;3.55;7.24;8.76;8.03;9.34;8.84;-0.40
291480;BA;2004;29148011;1;0;16.22;0;97;5.94;9.33;10.82;7.90;9.97;31.44;0.22
291480;BA;2003;29148011;1;0;16.80;0;97;5.90;8.95;10.80;10.85;9.80;55.32;0.18
291840;BA;2004;29184011;1;0;15.64;0;76;5.72;8.67;10.47;9.90;9.50;65.10;-0.99
291840;BA;2003;29184011;1;0;15.61;0;76;5.68;8.55;10.43;9.96;9.57;68.25;-2.81
291970;BA;2003;29197011;0;0;13.24;0;73;3.99;6.10;8.17;4.13;9.67;5.36;0.05
292370;BA;2004;29237011;0;0;12.71;0;33;3.28;5.82;7.96;5.77;9.49;20.06;-0.37
